community,region,latitude,longitude,focus
Soronko Academy,Accra,5.560014,-0.205744,Coding & Digital Skills
Women in Tech Africa,Accra,5.560014,-0.205744,Networking & Mentorship
WiSTEM Ghana,Kumasi,6.68848,-1.62443,STEM Education
AfroFemTech,Tamale,9.40079,-0.8393,Entrepreneurship
Tech Needs Girls,Accra,5.560014,-0.205744,Youth Empowerment
